=================================================
PTK-HUIM-DFS Results: Top-10000 Patterns
Parameters: k=10000, minProb=0,7000, parallel=true
=================================================
Rank   Pattern                                  Expected Util   Exist Prob     
185    [11, 15, 46]                             26444.1268      1.000000       
186    [21, 34, 46]                             26374.5770      1.000000       
187    [2, 9, 46]                               26352.7439      1.000000       
188    [52, 70]                                 26138.0988      1.000000       
189    [9, 71]                                  26060.0285      1.000000       
190    [5, 46, 54]                              25997.2997      1.000000       
191    [9, 44]                                  25890.6580      1.000000       
192    [2, 7]                                   25862.0656      1.000000       
193    [2, 42]                                  25857.3766      1.000000       
194    [15, 29]                                 25826.2529      1.000000       
195    [27, 34, 46]                             25822.8320      1.000000       
196    [34, 42, 46]                             25788.3990      1.000000       
197    [16, 46]                                 25653.4088      1.000000       
198    [29, 46, 50]                             25641.8737      1.000000       
199    [13, 15]                                 25526.9023      1.000000       
200    [11, 34, 46]                             25454.9409      1.000000       
201    [2, 58]                                  25427.8616      1.000000       
202    [46, 50, 60]                             25381.0064      1.000000       
203    [14, 46]                                 25350.0216      1.000000       
204    [25, 34]                                 25334.3383      1.000000       
205    [9, 46, 66]                              25261.5022      1.000000       
206    [9, 15, 34]                              25237.7045      1.000000       
207    [21, 74]                                 25235.3159      1.000000       
208    [15, 46, 52]                             25194.9379      1.000000       
209    [60, 70]                                 25170.9188      1.000000       
210    [15, 25, 46]                             25164.1952      1.000000       
211    [46, 54, 58]                             25151.2734      1.000000       
212    [15, 68]                                 25117.6365      1.000000       
213    [34, 46, 60]                             25095.9171      1.000000       
214    [9, 31, 46]                              25051.2492      1.000000       
215    [46, 69]                                 25045.9442      1.000000       
216    [7, 15, 46]                              24994.3718      1.000000       
217    [5, 15, 46]                              24962.2373      1.000000       
218    [9, 50, 70]                              24948.3741      1.000000       
219    [15, 46, 58]                             24945.8907      1.000000       
220    [5, 9, 50]                               24940.2472      1.000000       
221    [2, 44]                                  24917.9796      1.000000       
222    [2, 21]                                  24860.8971      1.000000       
223    [29, 34, 46]                             24836.5360      1.000000       
224    [9, 50, 58]                              24830.6989      1.000000       
225    [46, 52, 54]                             24820.2638      1.000000       
226    [19, 21]                                 24813.0583      1.000000       
227    [46, 54, 74]                             24694.3632      1.000000       
228    [5, 46, 70]                              24692.0279      1.000000       
229    [2, 74]                                  24680.4522      1.000000       
230    [9, 21, 34]                              24679.6754      1.000000       
231    [17, 50]                                 24641.0058      1.000000       
232    [29, 46, 54]                             24572.4578      1.000000       
233    [13]                                     24551.7600      1.000000       
234    [7, 9, 50]                               24469.2958      1.000000       
235    [25]                                     24423.7000      1.000000       
236    [19, 54]                                 24414.0192      1.000000       
237    [15, 29, 46]                             24412.9314      1.000000       
238    [9, 31]                                  24347.2474      1.000000       
239    [5, 25, 46]                              24346.1604      1.000000       
240    [3, 15]                                  24332.6430      1.000000       
241    [46, 50, 70]                             24328.6676      1.000000       
242    [25, 27]                                 24293.9059      1.000000       
243    [21, 42]                                 24267.0143      1.000000       
244    [15, 46, 60]                             24245.2804      1.000000       
245    [7, 21]                                  24218.7805      1.000000       
246    [2, 52]                                  24193.1514      1.000000       
247    [29, 70]                                 24190.5248      1.000000       
248    [68, 70]                                 24149.3044      1.000000       
249    [19, 46, 50]                             24143.5278      1.000000       
250    [9, 50, 54]                              24112.4478      1.000000       
251    [42, 46, 50]                             24084.8332      1.000000       
252    [7, 46, 54]                              24053.7220      1.000000       
253    [9, 25, 50]                              24042.3132      1.000000       
254    [9, 46, 68]                              23987.8235      1.000000       
255    [15, 17]                                 23959.1229      1.000000       
256    [15, 46, 50]                             23950.2394      1.000000       
257    [19, 21, 46]                             23931.3894      1.000000       
258    [9, 17, 46]                              23912.6678      1.000000       
259    [21, 25, 46]                             23857.1967      1.000000       
260    [9, 34, 54]                              23852.7706      1.000000       
261    [11, 25]                                 23804.8314      1.000000       
262    [9, 46, 62]                              23789.6172      1.000000       
263    [25, 27, 46]                             23773.3624      1.000000       
264    [7, 46, 70]                              23770.6388      1.000000       
265    [19, 25, 46]                             23769.6780      1.000000       
266    [15, 42, 46]                             23767.0123      1.000000       
267    [34, 50, 70]                             23700.8829      1.000000       
268    [50, 66]                                 23641.4016      1.000000       
269    [19, 46, 54]                             23612.8481      1.000000       
270    [3, 9]                                   23545.7751      1.000000       
271    [9, 11, 15]                              23491.5833      1.000000       
272    [34, 46, 74]                             23466.1079      1.000000       
273    [11, 46, 54]                             23463.1112      1.000000       
274    [46, 54, 60]                             23454.1407      1.000000       
275    [27, 46, 54]                             23420.1350      1.000000       
276    [9, 51]                                  23377.3812      1.000000       
277    [7, 54]                                  23376.6024      1.000000       
278    [25, 46, 58]                             23323.3276      1.000000       
279    [9, 50, 52]                              23306.8706      1.000000       
280    [15, 27, 46]                             23293.8315      1.000000       
281    [2, 29]                                  23261.8984      1.000000       
282    [25, 46, 52]                             23191.9055      1.000000       
283    [15, 46, 70]                             23191.3589      1.000000       
284    [46, 58, 70]                             23166.4528      1.000000       
285    [9, 39]                                  23118.2289      1.000000       
286    [46, 52, 70]                             23030.6486      1.000000       
287    [1, 15]                                  23010.0985      1.000000       
288    [19, 46, 70]                             22997.9749      1.000000       
289    [15, 31]                                 22970.3810      1.000000       
290    [2, 34, 46]                              22950.3157      1.000000       
291    [15, 46, 54]                             22942.3490      1.000000       
292    [27, 46, 50]                             22904.8894      1.000000       
293    [9, 15, 50]                              22895.5587      1.000000       
294    [9, 29, 50]                              22882.6787      1.000000       
295    [5, 21, 46]                              22832.8919      1.000000       
296    [9, 50, 60]                              22820.3809      1.000000       
