=================================================
UTKU-PSO Results: Top-50000 Patterns
Parameters: k=50000, minProb=0,7000, pop_size=20, iterations=10000
=================================================
Rank   Pattern                                  Expected Util   Exist Prob     
8725   {46, 15, 51, 52}                         5411.1394       1.000000       
8726   {46, 21, 13, 5}                          5410.1311       1.000000       
8727   {21, 54, 11, 5}                          5410.0680       1.000000       
8728   {2, 69, 60}                              5409.7790       1.000000       
8729   {50, 39, 13}                             5409.6953       1.000000       
8730   {21, 42, 17}                             5409.2796       1.000000       
8731   {46, 11, 13, 7}                          5409.0083       1.000000       
8732   {46, 13, 58, 60}                         5408.2054       1.000000       
8733   {54, 71, 66}                             5407.8836       1.000000       
8734   {21, 7, 3}                               5407.5730       1.000000       
8735   {15, 21, 19, 7}                          5407.4685       1.000000       
8736   {27, 19, 44}                             5407.3398       1.000000       
8737   {50, 21, 11, 29}                         5406.7341       1.000000       
8738   {46, 9, 54, 34, 58}                      5406.4733       1.000000       
8739   {46, 19, 1, 60}                          5405.1917       1.000000       
8740   {46, 44, 52, 29}                         5404.8480       1.000000       
8741   {46, 7, 52, 48}                          5404.7259       1.000000       
8742   {2, 27, 51}                              5404.3972       1.000000       
8743   {15, 70, 54, 42}                         5404.2099       1.000000       
8744   {46, 34, 1, 48}                          5404.1338       1.000000       
8745   {21, 11, 27, 25}                         5404.0980       1.000000       
8746   {21, 54, 5, 7}                           5403.9663       1.000000       
8747   {46, 19, 31, 3}                          5403.8988       1.000000       
8748   {9, 2, 34, 62}                           5403.2310       1.000000       
8749   {15, 2, 73}                              5402.9365       1.000000       
8750   {46, 71, 39, 48}                         5402.7993       1.000000       
8751   {46, 50, 15, 23}                         5402.7824       1.000000       
8752   {46, 15, 1, 66}                          5402.5717       1.000000       
8753   {9, 21, 42, 44}                          5401.4769       1.000000       
8754   {34, 71, 13}                             5401.4622       1.000000       
8755   {21, 54, 11, 74}                         5401.3588       1.000000       
8756   {9, 15, 58, 66}                          5400.4373       1.000000       
8757   {50, 15, 70, 44}                         5400.4038       1.000000       
8758   {46, 21, 65}                             5400.2858       1.000000       
8759   {70, 25, 14}                             5399.3307       1.000000       
8760   {70, 34, 19, 25}                         5398.9367       1.000000       
8761   {46, 9, 34, 7, 58}                       5398.7719       1.000000       
8762   {9, 2, 13, 29}                           5398.3666       1.000000       
8763   {27, 19, 31}                             5397.8947       1.000000       
8764   {50, 54, 34, 17}                         5395.4041       1.000000       
8765   {15, 54, 74, 58}                         5394.0535       1.000000       
8766   {46, 27, 68, 42}                         5392.9888       1.000000       
8767   {54, 73, 60}                             5392.8552       1.000000       
8768   {46, 50, 54, 40}                         5392.8277       1.000000       
8769   {9, 2, 27, 58}                           5392.1060       1.000000       
8770   {46, 50, 71, 7}                          5391.8390       1.000000       
8771   {50, 15, 54, 48}                         5391.7336       1.000000       
8772   {46, 68, 7, 60}                          5391.5384       1.000000       
8773   {70, 21, 20}                             5391.5350       1.000000       
8774   {46, 13, 42, 58}                         5391.4289       1.000000       
8775   {46, 15, 54, 1}                          5391.2409       1.000000       
8776   {9, 11, 42, 29}                          5391.1232       1.000000       
8777   {2, 54, 34, 29}                          5387.8838       1.000000       
8778   {46, 68, 5, 60}                          5387.3870       1.000000       
8779   {15, 11, 74, 5}                          5386.5103       1.000000       
8780   {9, 15, 17, 3}                           5386.0026       1.000000       
8781   {9, 11, 25, 3}                           5385.8188       1.000000       
8782   {50, 34, 3, 29}                          5385.4487       1.000000       
8783   {46, 9, 70, 34, 42}                      5385.1603       1.000000       
8784   {46, 70, 21, 38}                         5385.0253       1.000000       
8785   {46, 9, 39, 66}                          5384.8572       1.000000       
8786   {46, 21, 74, 1}                          5384.7940       1.000000       
8787   {46, 11, 52, 62}                         5384.6153       1.000000       
8788   {46, 19, 74, 62}                         5384.0780       1.000000       
8789   {46, 9, 71, 74}                          5383.9392       1.000000       
8790   {9, 21, 25, 66}                          5383.7966       1.000000       
8791   {21, 51, 31}                             5383.5527       1.000000       
8792   {15, 5, 69}                              5382.8502       1.000000       
8793   {46, 9, 39, 3}                           5382.5670       1.000000       
8794   {50, 70, 68, 7}                          5382.3587       1.000000       
8795   {46, 15, 11, 56}                         5382.2680       1.000000       
8796   {46, 71, 60, 52}                         5381.9096       1.000000       
8797   {54, 11, 65}                             5381.6980       1.000000       
8798   {9, 2, 34, 19}                           5381.4113       1.000000       
8799   {50, 9, 21, 19}                          5380.7227       1.000000       
8800   {46, 27, 71, 66}                         5380.2903       1.000000       
8801   {46, 68, 52, 29}                         5378.8390       1.000000       
8802   {50, 54, 68, 7}                          5378.7842       1.000000       
8803   {9, 54, 68, 44}                          5378.6918       1.000000       
8804   {46, 42, 3, 29}                          5378.6627       1.000000       
8805   {46, 9, 70, 34, 19}                      5378.3750       0.999999       
8806   {46, 19, 24}                             5378.3189       1.000000       
8807   {70, 39}                                 5377.2723       1.000000       
8808   {9, 21, 19, 60}                          5377.1646       1.000000       
8809   {46, 51, 25, 60}                         5376.3048       1.000000       
8810   {9, 34, 68, 29}                          5376.1986       1.000000       
8811   {15, 21, 54, 68}                         5375.9917       1.000000       
8812   {46, 74, 68, 42}                         5375.8669       1.000000       
8813   {46, 5, 75}                              5375.8152       1.000000       
8814   {54, 11, 14}                             5375.0624       1.000000       
8815   {46, 2, 21, 44}                          5374.3014       1.000000       
8816   {9, 15, 54, 31}                          5373.9465       1.000000       
8817   {46, 71, 58, 29}                         5372.9157       1.000000       
8818   {9, 2, 74, 52}                           5371.1492       1.000000       
8819   {46, 21, 44, 3}                          5371.0898       1.000000       
8820   {46, 21, 13, 7}                          5371.0320       1.000000       
8821   {46, 70, 68, 17}                         5370.8336       1.000000       
8822   {46, 68, 42, 58}                         5370.5047       1.000000       
8823   {34, 19, 17}                             5370.3696       1.000000       
8824   {46, 9, 34, 19, 7}                       5370.0798       1.000000       
8825   {15, 70, 19, 60}                         5369.8893       1.000000       
8826   {46, 5, 58, 66}                          5369.6763       1.000000       
8827   {46, 31, 38}                             5369.1621       1.000000       
8828   {9, 34, 19, 68}                          5368.6812       1.000000       
8829   {54, 27, 16}                             5368.6107       1.000000       
8830   {54, 39, 13}                             5368.4979       1.000000       
8831   {9, 54, 68, 42}                          5368.2573       1.000000       
8832   {46, 42, 58, 48}                         5368.1549       1.000000       
8833   {9, 15, 44, 58}                          5367.1305       1.000000       
8834   {46, 50, 9, 7, 58}                       5366.2422       1.000000       
8835   {46, 11, 13, 74}                         5365.5007       1.000000       
8836   {9, 21, 44, 52}                          5365.3206       1.000000       
8837   {46, 71, 5, 52}                          5364.8029       1.000000       
8838   {50, 26}                                 5364.6081       1.000000       
8839   {15, 2, 11, 34}                          5364.2653       1.000000       
8840   {54, 11, 34, 29}                         5363.4980       1.000000       
8841   {50, 15, 25, 31}                         5363.3799       1.000000       
8842   {46, 54, 13, 68}                         5362.9793       1.000000       
8843   {46, 55, 31}                             5362.7314       1.000000       
8844   {46, 9, 5, 14}                           5362.4949       1.000000       
8845   {46, 21, 74, 62}                         5361.4251       1.000000       
8846   {46, 50, 9, 58, 52}                      5361.1837       1.000000       
8847   {46, 50, 70, 40}                         5361.0854       1.000000       
8848   {50, 11, 27, 29}                         5360.9329       1.000000       
8849   {50, 2, 11, 34}                          5360.8300       1.000000       
8850   {70, 54, 34, 17}                         5360.7743       1.000000       
8851   {9, 34, 60, 29}                          5360.4449       1.000000       
8852   {46, 13, 5, 29}                          5360.2602       1.000000       
8853   {46, 51, 25, 58}                         5360.1251       1.000000       
8854   {70, 34, 5, 48}                          5360.0709       1.000000       
8855   {50, 9, 5, 38}                           5359.8145       1.000000       
8856   {15, 54, 19, 7}                          5359.3756       1.000000       
8857   {46, 28, 3}                              5358.6650       1.000000       
8858   {9, 2, 5, 3}                             5358.5843       1.000000       
8859   {46, 74, 68, 29}                         5357.9636       1.000000       
8860   {15, 70, 27, 7}                          5357.5078       1.000000       
8861   {46, 70, 68, 62}                         5357.3140       1.000000       
8862   {21, 44, 52}                             5357.1950       1.000000       
8863   {70, 54, 11, 52}                         5356.4437       1.000000       
8864   {70, 2, 16}                              5356.2605       1.000000       
8865   {46, 2, 21, 7}                           5355.8166       1.000000       
8866   {50, 70, 27, 25}                         5355.5559       1.000000       
8867   {70, 54, 34, 19}                         5355.4787       1.000000       
8868   {50, 15, 25, 48}                         5354.7375       1.000000       
8869   {46, 13, 60, 52}                         5353.4926       1.000000       
8870   {50, 15, 7, 62}                          5353.2630       1.000000       
8871   {50, 70, 11, 62}                         5351.7748       1.000000       
8872   {46, 34, 68, 62}                         5350.5914       1.000000       
8873   {34, 39, 3}                              5350.5863       1.000000       
8874   {46, 27, 31, 3}                          5350.0934       1.000000       
8875   {46, 54, 39, 25}                         5349.9156       1.000000       
8876   {9, 27, 19, 58}                          5349.5219       1.000000       
8877   {46, 19, 58, 62}                         5349.3834       1.000000       
8878   {46, 27, 34, 51}                         5349.2078       1.000000       
8879   {46, 11, 68, 60}                         5348.9744       1.000000       
8880   {46, 42, 44, 29}                         5348.8408       1.000000       
8881   {46, 11, 27, 13}                         5348.8177       1.000000       
8882   {46, 71, 39, 7}                          5348.4224       1.000000       
8883   {34, 71, 48}                             5348.0275       1.000000       
8884   {70, 21, 34, 66}                         5347.9037       1.000000       
8885   {50, 15, 21, 74}                         5347.8772       1.000000       
8886   {50, 39, 1}                              5347.8644       1.000000       
8887   {46, 9, 51, 17}                          5347.4953       1.000000       
8888   {46, 25, 65}                             5347.4792       1.000000       
8889   {46, 19, 52, 62}                         5347.0616       1.000000       
8890   {46, 2, 21, 5}                           5346.6069       1.000000       
8891   {71, 65}                                 5346.2542       1.000000       
8892   {50, 11, 34, 62}                         5346.1648       1.000000       
8893   {46, 11, 44, 17}                         5346.0244       1.000000       
8894   {46, 25, 74, 62}                         5345.4989       1.000000       
8895   {46, 9, 34, 19, 29}                      5345.3984       1.000000       
8896   {70, 34, 13, 5}                          5345.3517       1.000000       
8897   {46, 55, 60}                             5345.1279       1.000000       
8898   {71, 19, 5}                              5344.6610       1.000000       
8899   {50, 34, 31, 60}                         5344.4989       1.000000       
8900   {50, 9, 18}                              5343.0852       1.000000       
8901   {46, 34, 13, 31}                         5342.6973       1.000000       
8902   {27, 68, 42}                             5342.4435       1.000000       
8903   {46, 25, 68, 48}                         5341.6858       1.000000       
8904   {46, 25, 44, 3}                          5340.9699       1.000000       
8905   {2, 21, 51}                              5340.7284       1.000000       
8906   {9, 11, 19, 17}                          5340.2232       1.000000       
8907   {46, 15, 27, 36}                         5339.7568       1.000000       
8908   {2, 74, 62}                              5337.9630       1.000000       
8909   {46, 50, 13, 44}                         5337.9291       1.000000       
8910   {21, 54, 34, 19}                         5336.9409       1.000000       
8911   {54, 51, 68}                             5336.9310       1.000000       
8912   {2, 13, 68}                              5336.1938       1.000000       
8913   {9, 70, 2, 19}                           5335.5306       1.000000       
8914   {70, 25, 16}                             5335.2285       1.000000       
8915   {46, 50, 11, 13}                         5334.5142       1.000000       
8916   {46, 9, 51, 44}                          5334.5117       1.000000       
8917   {21, 34, 19, 25}                         5334.0426       1.000000       
8918   {27, 19, 3}                              5333.6179       1.000000       
8919   {9, 27, 25, 48}                          5333.5277       1.000000       
8920   {9, 70, 11, 38}                          5333.3119       1.000000       
8921   {50, 11, 74, 5}                          5332.2760       1.000000       
8922   {15, 34, 7, 17}                          5332.1291       1.000000       
8923   {21, 39, 51}                             5331.7925       1.000000       
8924   {46, 2, 19, 66}                          5331.3826       1.000000       
8925   {46, 51, 25, 52}                         5330.8519       1.000000       
8926   {46, 50, 9, 58, 29}                      5330.5063       1.000000       
8927   {70, 11, 28}                             5329.7389       1.000000       
8928   {46, 19, 44, 3}                          5329.5556       1.000000       
8929   {46, 13, 42, 52}                         5329.4267       1.000000       
8930   {46, 9, 60, 38}                          5329.0362       1.000000       
8931   {50, 15, 25, 74}                         5327.5283       1.000000       
8932   {15, 21, 19, 5}                          5326.6045       1.000000       
8933   {50, 70, 55}                             5326.1602       1.000000       
8934   {19, 5, 42}                              5325.3301       1.000000       
8935   {13, 44}                                 5324.6724       1.000000       
8936   {70, 2, 54, 7}                           5323.5243       1.000000       
8937   {46, 9, 34, 25, 60}                      5323.5054       1.000000       
8938   {11, 34, 25, 5}                          5323.0057       1.000000       
8939   {54, 39, 48}                             5322.9523       1.000000       
8940   {50, 9, 54, 38}                          5322.8241       1.000000       
8941   {46, 70, 13, 60}                         5322.2385       1.000000       
8942   {15, 70, 74, 52}                         5321.8573       1.000000       
8943   {70, 2, 5, 44}                           5321.8211       1.000000       
8944   {51, 25, 42}                             5321.7608       1.000000       
8945   {46, 15, 21, 71}                         5321.2099       0.999999       
8946   {46, 54, 39, 29}                         5321.0060       1.000000       
8947   {9, 2, 11, 25}                           5320.7455       1.000000       
8948   {2, 73, 29}                              5320.7086       1.000000       
8949   {46, 50, 27, 36}                         5320.2801       1.000000       
8950   {46, 21, 60, 62}                         5319.8449       1.000000       
8951   {46, 15, 19, 38}                         5319.6459       1.000000       
8952   {21, 11, 34, 60}                         5318.7599       1.000000       
8953   {15, 70, 34, 38}                         5318.5867       1.000000       
8954   {2, 73, 52}                              5318.3069       1.000000       
8955   {46, 27, 39, 3}                          5317.0027       1.000000       
8956   {39, 25, 58}                             5316.6986       1.000000       
8957   {50, 25, 60, 52}                         5316.6543       1.000000       
8958   {2, 58, 17}                              5316.2714       1.000000       
8959   {50, 31, 62}                             5315.4537       1.000000       
8960   {46, 34, 31, 66}                         5315.0805       1.000000       
8961   {50, 2, 54, 60}                          5314.5599       1.000000       
8962   {50, 15, 11, 74}                         5314.3249       1.000000       
8963   {46, 73, 66}                             5314.1401       1.000000       
8964   {46, 50, 71, 60}                         5314.1115       1.000000       
8965   {46, 74, 65}                             5314.0506       1.000000       
8966   {70, 51, 68}                             5313.5617       1.000000       
8967   {46, 71, 25, 42}                         5313.4648       1.000000       
8968   {27, 74, 60}                             5312.9965       1.000000       
8969   {15, 11, 25, 74}                         5312.7693       1.000000       
8970   {50, 9, 13, 44}                          5311.4785       1.000000       
8971   {9, 2, 58, 31}                           5311.3240       1.000000       
8972   {50, 54, 27, 44}                         5311.1944       1.000000       
8973   {9, 70, 42, 66}                          5310.8763       1.000000       
8974   {46, 75, 7}                              5310.5493       1.000000       
8975   {54, 71, 31}                             5310.2329       1.000000       
8976   {46, 19, 12}                             5310.1167       1.000000       
8977   {46, 70, 60, 38}                         5309.4907       1.000000       
8978   {50, 19, 14}                             5309.4824       1.000000       
8979   {50, 70, 60, 48}                         5308.9267       1.000000       
8980   {9, 34, 68, 60}                          5308.3897       1.000000       
8981   {2, 68, 7}                               5308.0752       1.000000       
8982   {46, 25, 3, 48}                          5307.6005       1.000000       
8983   {46, 50, 2, 17}                          5307.5596       1.000000       
8984   {46, 11, 13, 29}                         5307.4915       1.000000       
8985   {50, 25, 74, 52}                         5306.9579       1.000000       
8986   {46, 9, 34, 25, 42}                      5306.5086       1.000000       
8987   {15, 11, 34, 13}                         5306.4744       1.000000       
8988   {11, 71, 42}                             5306.3382       1.000000       
8989   {46, 54, 68, 62}                         5305.6819       1.000000       
8990   {46, 70, 2, 27}                          5305.5616       0.999999       
8991   {70, 54, 27, 7}                          5304.7194       1.000000       
8992   {34, 25, 3}                              5304.7088       1.000000       
8993   {50, 70, 2, 11}                          5304.4543       0.999999       
8994   {46, 21, 3, 48}                          5304.4150       1.000000       
8995   {9, 34, 44, 52}                          5304.4131       1.000000       
8996   {46, 50, 9, 5, 58}                       5304.3032       1.000000       
8997   {21, 60, 52}                             5303.9015       1.000000       
8998   {50, 11, 58, 29}                         5303.7773       1.000000       
8999   {46, 27, 13, 29}                         5303.0385       1.000000       
9000   {50, 70, 7, 17}                          5302.2870       1.000000       
9001   {9, 27, 25, 3}                           5302.1398       1.000000       
9002   {46, 9, 34, 25, 7}                       5302.0654       1.000000       
9003   {46, 9, 34, 19, 25}                      5301.5064       1.000000       
9004   {9, 21, 13, 5}                           5300.8159       1.000000       
9005   {46, 9, 34, 7, 29}                       5300.0536       1.000000       
9006   {2, 44, 17}                              5300.0341       1.000000       
9007   {21, 11, 34, 74}                         5300.0234       1.000000       
9008   {54, 44, 52}                             5299.7407       1.000000       
9009   {70, 2, 25, 7}                           5299.7072       1.000000       
9010   {46, 70, 21, 27}                         5299.6740       1.000000       
9011   {46, 54, 13, 66}                         5299.3545       1.000000       
9012   {46, 9, 39, 42}                          5299.0468       1.000000       
9013   {46, 9, 16, 44}                          5297.6779       1.000000       
9014   {46, 54, 1, 52}                          5297.0994       1.000000       
9015   {21, 54, 25, 68}                         5296.9446       1.000000       
9016   {15, 5, 62}                              5295.8832       1.000000       
9017   {21, 51, 3}                              5295.4287       1.000000       
9018   {11, 68, 58}                             5295.2429       1.000000       
9019   {19, 31}                                 5295.1126       1.000000       
9020   {46, 2, 42, 17}                          5294.4053       1.000000       
9021   {46, 70, 75}                             5293.8868       1.000000       
9022   {21, 13, 17}                             5293.8152       1.000000       
9023   {54, 1, 42}                              5293.6056       1.000000       
9024   {46, 27, 44, 3}                          5293.3348       1.000000       
9025   {46, 15, 70, 36}                         5293.1875       1.000000       
9026   {50, 11, 34, 44}                         5293.1777       1.000000       
9027   {46, 2, 34, 36}                          5293.0330       1.000000       
9028   {50, 21, 11, 60}                         5292.7667       1.000000       
9029   {46, 11, 68, 44}                         5292.5263       1.000000       
9030   {2, 13, 73}                              5292.3616       1.000000       
9031   {11, 73, 74}                             5292.1932       1.000000       
9032   {9, 69, 7}                               5292.0574       1.000000       
9033   {11, 42, 52}                             5291.8486       1.000000       
9034   {46, 9, 7, 36}                           5291.0569       1.000000       
9035   {15, 21, 60, 52}                         5290.9919       1.000000       
9036   {11, 39, 19}                             5290.4991       1.000000       
9037   {15, 70, 2, 44}                          5289.6440       1.000000       
9038   {46, 50, 13, 66}                         5287.0085       1.000000       
9039   {46, 21, 17, 48}                         5285.8796       1.000000       
9040   {11, 39, 52}                             5285.7442       1.000000       
9041   {21, 68, 3}                              5284.2584       1.000000       
9042   {46, 5, 44, 31}                          5283.9539       1.000000       
9043   {11, 5, 31}                              5283.7142       1.000000       
9044   {2, 54, 34, 44}                          5283.7015       1.000000       
9045   {46, 27, 39, 42}                         5283.1276       1.000000       
9046   {46, 19, 1, 58}                          5282.9365       1.000000       
9047   {50, 70, 54, 38}                         5282.9059       1.000000       
9048   {21, 34, 7, 58}                          5282.4874       1.000000       
9049   {54, 34, 5, 52}                          5282.3374       1.000000       
9050   {50, 34, 25, 17}                         5282.2316       1.000000       
9051   {46, 27, 13, 74}                         5281.5981       1.000000       
9052   {2, 16, 44}                              5281.5724       1.000000       
9053   {21, 54, 74, 52}                         5281.5574       1.000000       
9054   {46, 71, 5, 29}                          5281.4861       1.000000       
9055   {50, 9, 68, 3}                           5281.3090       1.000000       
9056   {46, 19, 1, 29}                          5281.0882       1.000000       
9057   {46, 34, 1, 3}                           5281.0839       1.000000       
9058   {21, 27, 25, 7}                          5280.7113       1.000000       
9059   {27, 5, 44}                              5280.6694       1.000000       
9060   {71, 5, 58}                              5280.4676       1.000000       
9061   {70, 11, 69}                             5280.2652       1.000000       
9062   {46, 9, 44, 38}                          5279.8912       1.000000       
9063   {27, 39, 17}                             5279.7444       1.000000       
9064   {50, 15, 19, 17}                         5279.6939       1.000000       
9065   {9, 70, 13, 25}                          5279.5038       1.000000       
9066   {46, 15, 51, 17}                         5279.4282       1.000000       
9067   {9, 21, 27, 62}                          5279.3891       1.000000       
9068   {50, 9, 34, 23}                          5279.0305       1.000000       
9069   {15, 34, 28}                             5278.8512       1.000000       
9070   {9, 27, 34, 62}                          5278.3102       1.000000       
9071   {46, 54, 74, 1}                          5278.2404       1.000000       
9072   {50, 34, 52, 48}                         5276.4424       1.000000       
9073   {21, 34, 25, 29}                         5276.3096       1.000000       
9074   {50, 27, 60, 52}                         5276.2099       1.000000       
9075   {9, 21, 7, 31}                           5275.9990       1.000000       
9076   {50, 5, 58, 60}                          5275.9614       1.000000       
9077   {2, 73, 5}                               5275.4695       1.000000       
9078   {46, 15, 21, 51}                         5275.4689       1.000000       
9079   {54, 34, 5, 42}                          5275.3941       1.000000       
9080   {46, 2, 13, 74}                          5275.2754       1.000000       
9081   {50, 21, 25, 44}                         5274.1207       1.000000       
9082   {54, 51, 44}                             5273.5050       1.000000       
9083   {46, 50, 15, 40}                         5272.9191       1.000000       
9084   {21, 34, 69}                             5272.4476       1.000000       
9085   {15, 54, 11, 42}                         5272.1494       1.000000       
9086   {15, 27, 25, 52}                         5271.8890       1.000000       
9087   {70, 54, 5, 44}                          5271.1529       1.000000       
9088   {50, 2, 42, 52}                          5270.8570       1.000000       
9089   {46, 15, 21, 36}                         5270.4223       1.000000       
9090   {70, 27, 34, 29}                         5270.3121       1.000000       
9091   {46, 70, 31, 62}                         5270.2118       1.000000       
9092   {46, 68, 5, 44}                          5270.0678       1.000000       
9093   {46, 25, 7, 62}                          5269.6221       1.000000       
9094   {2, 11, 38}                              5268.7923       1.000000       
9095   {50, 15, 54, 66}                         5268.7378       1.000000       
9096   {27, 51, 74}                             5268.6053       1.000000       
9097   {54, 34, 14}                             5268.4339       1.000000       
9098   {2, 71, 74}                              5267.9360       1.000000       
9099   {21, 34, 19, 5}                          5267.9071       1.000000       
9100   {46, 50, 15, 56}                         5267.8334       1.000000       
9101   {46, 50, 9, 34, 25}                      5267.6357       0.999998       
9102   {46, 2, 54, 36}                          5267.3238       1.000000       
9103   {46, 19, 42, 62}                         5267.1199       1.000000       
9104   {9, 21, 19, 17}                          5266.5606       1.000000       
9105   {46, 15, 71, 25}                         5266.2933       1.000000       
9106   {21, 58, 31}                             5266.0404       1.000000       
9107   {9, 2, 74, 58}                           5265.3193       1.000000       
9108   {50, 13, 1}                              5265.2185       1.000000       
9109   {46, 54, 71, 44}                         5265.1333       1.000000       
9110   {46, 15, 51, 60}                         5264.5909       1.000000       
9111   {46, 74, 58, 3}                          5264.3811       1.000000       
9112   {50, 54, 28}                             5263.5677       1.000000       
9113   {46, 2, 34, 38}                          5263.5260       1.000000       
9114   {50, 25, 28}                             5262.9653       1.000000       
9115   {11, 27, 34, 58}                         5262.5464       1.000000       
9116   {46, 21, 19, 51}                         5262.3803       1.000000       
9117   {50, 54, 11, 44}                         5262.3552       1.000000       
9118   {50, 34, 44, 29}                         5261.7993       1.000000       
9119   {21, 51, 48}                             5260.4687       1.000000       
9120   {50, 70, 21, 74}                         5260.3098       1.000000       
9121   {46, 21, 71, 48}                         5259.4653       1.000000       
9122   {46, 50, 60, 38}                         5259.2625       1.000000       
9123   {50, 70, 29, 66}                         5259.1413       1.000000       
9124   {50, 70, 29, 48}                         5258.8107       1.000000       
9125   {15, 19, 69}                             5258.7386       1.000000       
9126   {50, 2, 18}                              5258.5260       1.000000       
9127   {15, 70, 19, 17}                         5258.5066       1.000000       
9128   {46, 27, 1, 58}                          5258.3291       1.000000       
9129   {50, 39, 74}                             5258.0933       1.000000       
9130   {54, 44, 60}                             5258.0865       1.000000       
9131   {46, 19, 68, 3}                          5257.7844       1.000000       
9132   {15, 54, 5, 52}                          5257.4179       1.000000       
9133   {70, 54, 11, 27}                         5256.9909       1.000000       
9134   {15, 70, 27, 29}                         5255.2875       1.000000       
9135   {54, 51, 29}                             5255.1060       1.000000       
9136   {2, 54, 34, 7}                           5254.3775       1.000000       
9137   {9, 27, 19, 60}                          5254.0538       1.000000       
9138   {46, 9, 15, 34, 52}                      5253.4385       1.000000       
9139   {46, 12, 44}                             5252.6736       1.000000       
9140   {46, 34, 17, 48}                         5252.5003       1.000000       
9141   {70, 34, 25, 31}                         5251.9740       1.000000       
9142   {46, 27, 29, 62}                         5251.8815       1.000000       
9143   {70, 2, 54, 52}                          5251.8016       1.000000       
9144   {9, 70, 68, 44}                          5250.9913       1.000000       
9145   {70, 2, 11, 7}                           5250.9719       1.000000       
9146   {54, 27, 74, 5}                          5250.8742       1.000000       
9147   {46, 15, 68, 31}                         5250.5303       1.000000       
9148   {70, 2, 11, 5}                           5250.4145       1.000000       
9149   {46, 70, 31, 66}                         5249.7435       1.000000       
9150   {46, 27, 60, 62}                         5249.2795       1.000000       
9151   {11, 74, 1}                              5249.0842       1.000000       
9152   {27, 51, 58}                             5248.7483       1.000000       
9153   {70, 34, 19, 42}                         5248.6312       1.000000       
9154   {70, 34, 74, 60}                         5248.2861       1.000000       
9155   {46, 42, 52, 48}                         5248.1152       1.000000       
9156   {15, 71, 68}                             5247.5584       1.000000       
9157   {46, 54, 51, 25}                         5247.4091       1.000000       
9158   {34, 13, 44}                             5247.3557       1.000000       
9159   {46, 15, 68, 66}                         5247.2684       1.000000       
9160   {9, 21, 7, 17}                           5246.9056       1.000000       
9161   {70, 17, 29}                             5246.5556       1.000000       
9162   {46, 68, 58, 29}                         5246.5190       1.000000       
9163   {9, 34, 12}                              5246.3939       1.000000       
9164   {15, 27, 19, 58}                         5246.3244       1.000000       
9165   {50, 70, 42, 62}                         5245.4505       1.000000       
9166   {9, 73, 68}                              5245.2324       1.000000       
9167   {15, 21, 28}                             5244.6541       1.000000       
9168   {46, 9, 34, 25, 29}                      5244.5115       1.000000       
9169   {50, 25, 5, 3}                           5244.4592       1.000000       
9170   {46, 2, 21, 25}                          5244.3816       1.000000       
9171   {54, 11, 25, 5}                          5243.4301       1.000000       
9172   {46, 15, 44, 62}                         5243.1067       1.000000       
9173   {46, 9, 19, 56}                          5242.8523       1.000000       
9174   {34, 5, 52}                              5242.3424       1.000000       
9175   {46, 58, 31, 29}                         5242.2727       1.000000       
9176   {46, 9, 2, 64}                           5242.1527       1.000000       
9177   {46, 50, 34, 14}                         5242.1414       1.000000       
9178   {46, 58, 3, 29}                          5242.0198       1.000000       
9179   {50, 9, 2, 38}                           5241.3141       1.000000       
9180   {9, 15, 2, 60}                           5240.1989       1.000000       
9181   {46, 9, 2, 16}                           5240.1802       1.000000       
9182   {46, 9, 54, 34, 60}                      5239.7702       1.000000       
9183   {11, 51, 60}                             5239.5109       1.000000       
9184   {46, 13, 52, 29}                         5239.4927       1.000000       
9185   {46, 34, 51, 29}                         5239.0138       1.000000       
9186   {46, 5, 17, 29}                          5238.7434       1.000000       
9187   {46, 11, 55}                             5238.2634       1.000000       
9188   {34, 1, 42}                              5237.6151       1.000000       
9189   {9, 15, 44, 52}                          5236.4854       1.000000       
9190   {54, 71, 51}                             5236.2138       1.000000       
9191   {9, 52, 17}                              5236.1308       1.000000       
9192   {46, 34, 65}                             5236.1000       1.000000       
9193   {9, 70, 5, 38}                           5235.9904       1.000000       
9194   {50, 25, 42, 60}                         5235.9208       1.000000       
9195   {9, 11, 74, 60}                          5235.8179       1.000000       
9196   {9, 70, 19, 31}                          5235.5986       1.000000       
9197   {46, 39, 19, 25}                         5235.5837       1.000000       
9198   {50, 7, 38}                              5235.4172       1.000000       
9199   {9, 34, 68, 44}                          5235.3047       1.000000       
9200   {46, 21, 71, 42}                         5234.9810       1.000000       
9201   {2, 16, 58}                              5234.9760       1.000000       
9202   {46, 21, 29, 62}                         5234.8775       1.000000       
9203   {50, 2, 27, 58}                          5234.6332       1.000000       
9204   {50, 54, 19, 58}                         5234.5794       1.000000       
9205   {11, 51, 52}                             5234.4835       1.000000       
9206   {70, 27, 34, 60}                         5234.4551       1.000000       
9207   {46, 50, 1, 58}                          5234.1593       1.000000       
9208   {50, 34, 19, 29}                         5234.0637       1.000000       
9209   {50, 9, 11, 68}                          5233.7098       1.000000       
9210   {46, 9, 51, 7}                           5232.8966       1.000000       
9211   {46, 2, 11, 13}                          5232.4362       1.000000       
9212   {9, 27, 34, 1}                           5232.4109       1.000000       
9213   {46, 27, 25, 1}                          5232.1644       1.000000       
9214   {71, 25, 44}                             5231.7312       1.000000       
9215   {54, 27, 25, 7}                          5231.0208       1.000000       
